Category,Avg_Precision@1,Avg_Recall@5,Avg_MRR,Std_Precision@1,Query_Count
onboarding,0.7692307692307693,0.7692307692307693,0.8782051282051282,0.42132504423474315,26
payments,0.8846153846153846,1.0,0.9423076923076923,0.31948553318915673,26
kyc,0.8846153846153846,1.0,0.9358974358974359,0.31948553318915673,26
api,0.8461538461538461,0.9743589743589743,0.9230769230769231,0.36080121229411,26
security,0.9230769230769231,1.0,0.9615384615384616,0.26646935501059654,13
troubleshooting,1.0,1.0,1.0,0.0,13
pricing,0.5384615384615384,1.0,0.7435897435897435,0.49851851526214314,26
features,0.6923076923076923,0.8803418803418802,0.8205128205128205,0.46153846153846156,39
