Category,Avg_P@1,Avg_Recall@5,Avg_MRR,Std_P@1,Std_Recall@5,Std_MRR
onboarding,0.8076923076923077,0.967948717948718,0.9038461538461539,0.3941134909984461,0.08974358974358976,0.19705674549922306
payments,0.8846153846153846,1.0,0.9423076923076923,0.31948553318915673,0.0,0.15974276659457837
kyc,0.8846153846153846,1.0,0.9358974358974359,0.31948553318915673,0.0,0.17948717948717952
api,0.8461538461538461,0.9743589743589743,0.9230769230769231,0.36080121229411,0.08882311833686551,0.180400606147055
security,0.9230769230769231,1.0,0.9615384615384616,0.26646935501059654,0.0,0.13323467750529827
troubleshooting,1.0,1.0,1.0,0.0,0.0,0.0
pricing,0.5384615384615384,1.0,0.7435897435897435,0.49851851526214314,0.0,0.28205128205128205
